Project ID with serial,Module,Variable name,Unit,Numeric value,Non-numeric value
foundation_validation_ge15,FoundationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,307553.56983444514,Equipment rental <--> Foundation <--> 307554
foundation_validation_ge15,FoundationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,3677659.9867217494,Labor <--> Foundation <--> 3677660
foundation_validation_ge15,FoundationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,5573031.2160670925,Materials <--> Foundation <--> 5573032
foundation_validation_ge15,FoundationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,955824.4772623288,Mobilization <--> Foundation <--> 955825
foundation_validation_ge15,SitePreparationCost,Total road volume,m^3,55090.4,
foundation_validation_ge15,SitePreparationCost,Depth to subgrade,m,0.1,
foundation_validation_ge15,SitePreparationCost,Crane path width,ft,13.7,
foundation_validation_ge15,SitePreparationCost,Road length,m,35492.0,
foundation_validation_ge15,SitePreparationCost,Road width,m,6.0,
foundation_validation_ge15,SitePreparationCost,Road thickness,m,0.2,
foundation_validation_ge15,SitePreparationCost,Material volume,cubic yards,100157.12926519998,
foundation_validation_ge15,SitePreparationCost,Topsoil volume,cubic yards,63597.813118,
foundation_validation_ge15,SitePreparationCost,Embankment volume crane,cubic yards,63597.813118,
foundation_validation_ge15,SitePreparationCost,Embankment volume road,cubic yards,55706.11368,
foundation_validation_ge15,SitePreparationCost,Rough grading area,ft^2,22.921940327999998,
foundation_validation_ge15,SitePreparationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,797751.5345973179,Materials <--> Roads <--> 797752
foundation_validation_ge15,SitePreparationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,412013.84003877634,Equipment rental <--> Roads <--> 412014
foundation_validation_ge15,SitePreparationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,609463.1296755779,Labor <--> Roads <--> 609464
foundation_validation_ge15,SitePreparationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,1307300.76,Other <--> Roads <--> 1307301
foundation_validation_ge15,SitePreparationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,83009.35196747491,Mobilization <--> Roads <--> 83010
foundation_validation_ge15,SubstationCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,4859182.072082901,Other <--> Substation <--> 4859183
foundation_validation_ge15,GridConnectionCost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,4084775.152898776,Other <--> Transmission and Distribution <--> 4084776
foundation_validation_ge15,Collection Cost,Total Number of Turbines,,100.0,
foundation_validation_ge15,Collection Cost,Total trench length,km,61.416659228538016,
foundation_validation_ge15,Collection Cost,Total cable length,km,61.416659228538016,
foundation_validation_ge15,Collection Cost,Number of Turbines Per String in Full String,,38.0,
foundation_validation_ge15,Collection Cost,Number of Full Strings,,2.0,
foundation_validation_ge15,Collection Cost,Number of Turbines in Partial String,,24.0,
foundation_validation_ge15,Collection Cost,Number of Partial Strings,,1.0,
foundation_validation_ge15,Collection Cost,Total number of strings full + partial,,3.0,
foundation_validation_ge15,Collection Cost,Trench Length to Substation (km),,31.540659228538015,
foundation_validation_ge15,Collection Cost,Cable Length to Substation (km),,31.540659228538015,
foundation_validation_ge15,Collection Cost,Array cable length for cable  AWG 1/0,km,3.388,
foundation_validation_ge15,Collection Cost,Total cable length for cable  AWG 1/0,km,10.164,
foundation_validation_ge15,Collection Cost,Total cable cost for cable  AWG 1/0,usd,200078.74015748032,
foundation_validation_ge15,Collection Cost,Array cable length for cable  AWG 4/0,km,1.8479999999999999,
foundation_validation_ge15,Collection Cost,Total cable length for cable  AWG 4/0,km,5.544,
foundation_validation_ge15,Collection Cost,Total cable cost for cable  AWG 4/0,usd,163700.7874015748,
foundation_validation_ge15,Collection Cost,Array cable length for cable  MCM 500,km,2.464,
foundation_validation_ge15,Collection Cost,Total cable length for cable  MCM 500,km,6.776,
foundation_validation_ge15,Collection Cost,Total cable cost for cable  MCM 500,usd,289002.624671916,
foundation_validation_ge15,Collection Cost,Array cable length for cable  MCM1000,km,2.464,
foundation_validation_ge15,Collection Cost,Total cable length for cable  MCM1000,km,4.928,
foundation_validation_ge15,Collection Cost,Total cable cost for cable  MCM1000,usd,258687.66404199475,
foundation_validation_ge15,Collection Cost,Array cable length for cable  MCM1250,km,1.232,
foundation_validation_ge15,Collection Cost,Total cable length for cable  MCM1250,km,34.00465922853802,
foundation_validation_ge15,Collection Cost,Total cable cost for cable  MCM1250,usd,1896585.3244263332,
foundation_validation_ge15,Collection Cost,"Number of turbines per cable type in full strings [AWG 1/0  ,  AWG 4/0  ,  MCM 500  ,  MCM1000  ,  MCM1250]",,,"[12.0, 6.0, 8.0, 8.0, 4.0]"
foundation_validation_ge15,Collection Cost,"Percent length of cable in partial string [AWG 1/0  ,  AWG 4/0  ,  MCM 500  ,  MCM1000  ,  MCM1250]",,,[1.   1.   0.75 0.   0.  ]
foundation_validation_ge15,Collection Cost,Labor type ID <--> Hourly rate USD per hour <--> Per diem USD per day <--> Operation <--> Crew type <--> Crew name <--> Number of workers <--> Per Diem Total <--> Hourly costs total <--> Crew total cost ,,,"0 <--> Project manager <--> 119.0 <--> 149 <--> (50% burden) https://www.salary.com/tools/salary-calculator/project-manager-sr-construction-hourly?type=base; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. <--> M0 <--> Management <--> Management - project size <--> 1 <--> 13410.0 <--> 107100.0 <--> 120510.0"
foundation_validation_ge15,Collection Cost,Labor type ID <--> Hourly rate USD per hour <--> Per diem USD per day <--> Operation <--> Crew type <--> Crew name <--> Number of workers <--> Per Diem Total <--> Hourly costs total <--> Crew total cost ,,,"1 <--> Site manager <--> 112.2 <--> 149 <--> (50% burden) https://www.salary.com/tools/salary-calculator/construction-manager-ii-hourly; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. <--> M0 <--> Management <--> Management - project size <--> 1 <--> 13410.0 <--> 100980.0 <--> 114390.0"
foundation_validation_ge15,Collection Cost,Labor type ID <--> Hourly rate USD per hour <--> Per diem USD per day <--> Operation <--> Crew type <--> Crew name <--> Number of workers <--> Per Diem Total <--> Hourly costs total <--> Crew total cost ,,,"2 <--> Construction manager <--> 112.2 <--> 149 <--> (50% burden) https://www.salary.com/tools/salary-calculator/construction-manager-ii-hourly; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. <--> M0 <--> Management <--> Management - project size <--> 1 <--> 13410.0 <--> 100980.0 <--> 114390.0"
foundation_validation_ge15,Collection Cost,Labor type ID <--> Hourly rate USD per hour <--> Per diem USD per day <--> Operation <--> Crew type <--> Crew name <--> Number of workers <--> Per Diem Total <--> Hourly costs total <--> Crew total cost ,,,"3 <--> Project engineer <--> 93.5 <--> 149 <--> (50% burden) https://www.salary.com/tools/salary-calculator/project-engineer-iii-construction-hourly; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. <--> M0 <--> Management <--> Management - project size <--> 1 <--> 13410.0 <--> 84150.0 <--> 97560.0"
foundation_validation_ge15,Collection Cost,Labor type ID <--> Hourly rate USD per hour <--> Per diem USD per day <--> Operation <--> Crew type <--> Crew name <--> Number of workers <--> Per Diem Total <--> Hourly costs total <--> Crew total cost ,,,"4 <--> Safety or qc manager <--> 106.11764705882352 <--> 149 <--> (70% burden) https://www.salary.com/tools/salary-calculator/construction-site-safety-manager-hourly; plus 35% for demanding specs, rigid inspec-tions, unreliable suppliers. <--> M0 <--> Management <--> Management - project size <--> 1 <--> 13410.0 <--> 95505.88235294116 <--> 108915.88235294116"
foundation_validation_ge15,Collection Cost,Labor type ID <--> Hourly rate USD per hour <--> Per diem USD per day <--> Operation <--> Crew type <--> Crew name <--> Number of workers <--> Per Diem Total <--> Hourly costs total <--> Crew total cost ,,,"5 <--> Logistics manager <--> 99.9 <--> 149 <--> (50 % burden) https://www.salary.com/research/salary/benchmark/logistics-manager-hourly-wages; plus 35% for demanding specs, rigid inspec-tions, unreliable suppliers. <--> M0 <--> Management <--> Management - project size <--> 1 <--> 13410.0 <--> 89910.0 <--> 103320.0"
foundation_validation_ge15,Collection Cost,Labor type ID <--> Hourly rate USD per hour <--> Per diem USD per day <--> Operation <--> Crew type <--> Crew name <--> Number of workers <--> Per Diem Total <--> Hourly costs total <--> Crew total cost ,,,"6 <--> Office admin <--> 44.56249999999999 <--> 149 <--> (35% burden) https://www.salary.com/tools/salary-calculator/administrative-assistant-ii-hourly ; 25% for work on a ladder or a scaffold, in a crawl space, in a congested area or remote from the material storage point; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. <--> M0 <--> Management <--> Management - project size <--> 1 <--> 13410.0 <--> 40106.24999999999 <--> 53516.24999999999"
foundation_validation_ge15,Collection Cost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,426614.6862960762,Equipment rental <--> Collection <--> 426615
foundation_validation_ge15,Collection Cost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,1402888.0267842393,Labor <--> Collection <--> 1402889
foundation_validation_ge15,Collection Cost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,2808055.140699299,Materials <--> Collection <--> 2808056
foundation_validation_ge15,Collection Cost,Type of Cost <--> Phase of Construction <--> Cost in USD ,,231877.89268898076,Mobilization <--> Collection <--> 231878
foundation_validation_ge15,DevelopmentCost,Type of Cost - Phase of Construction - Cost in USD,,Development,Equipment rental - Development - 0
foundation_validation_ge15,DevelopmentCost,Type of Cost - Phase of Construction - Cost in USD,,Development,Labor - Development - 150000
foundation_validation_ge15,DevelopmentCost,Type of Cost - Phase of Construction - Cost in USD,,Development,Materials - Development - 0
foundation_validation_ge15,DevelopmentCost,Type of Cost - Phase of Construction - Cost in USD,,Development,Mobilization - Development - 0
foundation_validation_ge15,DevelopmentCost,Type of Cost - Phase of Construction - Cost in USD,,Development,Other - Development - 0
foundation_validation_ge15,ErectionCost,_number_of_equip: Operation-Crane name-Boom system-Number of equipment,,2,Offload-LB 75-Hydraulic-2
foundation_validation_ge15,ErectionCost,_number_of_equip: Operation-Crane name-Boom system-Number of equipment,,3,Top-LR1500-SL3F-3
foundation_validation_ge15,ErectionCost,_number_of_equip: Operation-Crane name-Boom system-Number of equipment,,5,Base-LR1600/2-SL3F-5
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: Operation-Crane name-Boom system-Operational construct days over time construct days,,1.0,Offload-LB 75-Hydraulic-1.0
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: Operation-Crane name-Boom system-Operational construct days over time construct days,,1.0,Top-LR1500-SL3F-1.0
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: Operation-Crane name-Boom system-Operational construct days over time construct days,,1.0,Base-LR1600/2-SL3F-1.0
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Nacelle GE 1.5SLE - Top
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Hub - Top
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Blade 1 - Top
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Blade 2 - Top
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Blade 3 - Top
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Tower section 1 - Base
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Tower section 2 - Base
foundation_validation_ge15,ErectionCost,component_name_topvbase: Operation - Top or Base,,,Tower section 3 - Top
foundation_validation_ge15,ErectionCost,crane_choice: Crew name - Boom system - Operation,,,LB 75 - Hydraulic - Offload
foundation_validation_ge15,ErectionCost,crane_choice: Crew name - Boom system - Operation,,,LR1500 - SL3F - Top
foundation_validation_ge15,ErectionCost,crane_choice: Crew name - Boom system - Operation,,,LR1600/2 - SL3F - Base
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,36857.799999999996,LB 75-Hydraulic-Offload - Equipment rental cost USD - 36857.799999999996
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,504996.26918536006,LR1500-SL3F-Top - Equipment rental cost USD - 504996.26918536006
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,207057.42360379346,LR1600/2-SL3F-Base - Equipment rental cost USD - 207057.42360379346
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,3432.0,LB 75-Hydraulic-Offload - Fuel cost USD - 3432.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,19153.5,LR1500-SL3F-Top - Fuel cost USD - 19153.5
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,6240.0,LR1600/2-SL3F-Base - Fuel cost USD - 6240.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,554198.6623406666,LB 75-Hydraulic-Offload - Labor cost USD without management - 554198.6623406666
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,1710091.6711404957,LR1500-SL3F-Top - Labor cost USD without management - 1710091.6711404957
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,479639.6382571127,LR1600/2-SL3F-Base - Labor cost USD without management - 479639.6382571127
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,32160.0,LB 75-Hydraulic-Offload - Mobilization cost USD - 32160.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,368796.0,LR1500-SL3F-Top - Mobilization cost USD - 368796.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,498354.0,LR1600/2-SL3F-Base - Mobilization cost USD - 498354.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,476718.66234066663,LB 75-Hydraulic-Offload - Subtotal for hourly labor (non-management) USD - 476718.66234066663
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,1474373.6711404957,LR1500-SL3F-Top - Subtotal for hourly labor (non-management) USD - 1474373.6711404957
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,412887.6382571127,LR1600/2-SL3F-Base - Subtotal for hourly labor (non-management) USD - 412887.6382571127
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,77480.0,LB 75-Hydraulic-Offload - Subtotal for per diem labor (non-management) USD - 77480.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,235718.0,LR1500-SL3F-Top - Subtotal for per diem labor (non-management) USD - 235718.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,66752.0,LR1600/2-SL3F-Base - Subtotal for per diem labor (non-management) USD - 66752.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,626648.4623406667,LB 75-Hydraulic-Offload - Total cost USD - 626648.4623406667
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,2603037.4403258557,LR1500-SL3F-Top - Total cost USD - 2603037.4403258557
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,1191291.0618609062,LR1600/2-SL3F-Base - Total cost USD - 1191291.0618609062
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,263.27,LB 75-Hydraulic-Offload - Operation time all turbines hrs - 263.27
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,710.4,LR1500-SL3F-Top - Operation time all turbines hrs - 710.4
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,222.9,LR1600/2-SL3F-Base - Operation time all turbines hrs - 222.9
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,263.27,LB 75-Hydraulic-Offload - Total time per op with weather - 263.27
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,1132.2786304604485,LR1500-SL3F-Top - Total time per op with weather - 1132.2786304604485
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,317.086406743941,LR1600/2-SL3F-Base - Total time per op with weather - 317.086406743941
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,1.0,LB 75-Hydraulic-Offload - Wind multiplier - 1.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,1.5938606847697756,LR1500-SL3F-Top - Wind multiplier - 1.5938606847697756
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,1.422550052687039,LR1600/2-SL3F-Base - Wind multiplier - 1.422550052687039
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,26.326999999999998,LB 75-Hydraulic-Offload - Operational construct days - 26.326999999999998
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,71.03999999999999,LR1500-SL3F-Top - Operational construct days - 71.03999999999999
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,22.29,LR1600/2-SL3F-Base - Operational construct days - 22.29
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,60.0,LB 75-Hydraulic-Offload - Time construct days - 60.0
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,71.03999999999999,LR1500-SL3F-Top - Time construct days - 71.03999999999999
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,22.29,LR1600/2-SL3F-Base - Time construct days - 22.29
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,2.6327,LB 75-Hydraulic-Offload - Total time per turbine - 2.6327
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,11.322786304604485,LR1500-SL3F-Top - Total time per turbine - 11.322786304604485
foundation_validation_ge15,ErectionCost,crane_data_output: crane_boom_operation_concat - variable - value,,3.17086406743941,LR1600/2-SL3F-Base - Total time per turbine - 3.17086406743941
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,36857.799999999996,LB 75-Hydraulic-Offload - Equipment rental cost USD - 36857.799999999996
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,504996.26918536006,LR1500-SL3F-Top - Equipment rental cost USD - 504996.26918536006
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,207057.42360379346,LR1600/2-SL3F-Base - Equipment rental cost USD - 207057.42360379346
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,3432.0,LB 75-Hydraulic-Offload - Fuel cost USD - 3432.0
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,19153.5,LR1500-SL3F-Top - Fuel cost USD - 19153.5
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,6240.0,LR1600/2-SL3F-Base - Fuel cost USD - 6240.0
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,554198.6623406666,LB 75-Hydraulic-Offload - Labor cost USD without management - 554198.6623406666
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,1710091.6711404957,LR1500-SL3F-Top - Labor cost USD without management - 1710091.6711404957
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,479639.6382571127,LR1600/2-SL3F-Base - Labor cost USD without management - 479639.6382571127
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,32160.0,LB 75-Hydraulic-Offload - Mobilization cost USD - 32160.0
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,368796.0,LR1500-SL3F-Top - Mobilization cost USD - 368796.0
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,498354.0,LR1600/2-SL3F-Base - Mobilization cost USD - 498354.0
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,626648.4623406667,LB 75-Hydraulic-Offload - Total cost USD - 626648.4623406667
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,2603037.4403258557,LR1500-SL3F-Top - Total cost USD - 2603037.4403258557
foundation_validation_ge15,ErectionCost,crane_cost_details: Operation ID - Type of cost - Cost,,1191291.0618609062,LR1600/2-SL3F-Base - Total cost USD - 1191291.0618609062
foundation_validation_ge15,ErectionCost,total_erection_cost: Phase of construction - Type of cost - Cost USD,,748911.4927891536,Erection - Equipment rental - 748911.4927891536
foundation_validation_ge15,ErectionCost,total_erection_cost: Phase of construction - Type of cost - Cost USD,,28825.5,Erection - Fuel - 28825.5
foundation_validation_ge15,ErectionCost,total_erection_cost: Phase of construction - Type of cost - Cost USD,,5134653.8032382745,Erection - Labor - 5134653.8032382745
foundation_validation_ge15,ErectionCost,total_erection_cost: Phase of construction - Type of cost - Cost USD,,899310.0,Erection - Mobilization - 899310.0
foundation_validation_ge15,ErectionCost,total_erection_cost: Phase of construction - Type of cost - Cost USD,,0.0,Erection - Other - 0.0
foundation_validation_ge15,ErectionCost,total_erection_cost: Phase of construction - Type of cost - Cost USD,,0.0,Erection - Materials - 0.0
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: crew cost without management,usd,554198.6623406666,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: crew cost without management,usd,1710091.6711404957,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: crew cost without management,usd,479639.6382571127,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: mobilization,usd,32160,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: mobilization,usd,368796,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: mobilization,usd,498354,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: wind multiplier,,1.0,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: wind multiplier,,1.5938606847697756,
foundation_validation_ge15,ErectionCost,erection_selected_detailed_data: wind multiplier,,1.422550052687039,
foundation_validation_ge15,ErectionCost,total_cost_summed_erection,usd,6811700.7960274285,
foundation_validation_ge15,ErectionCost,management_crews_cost: Crew type ID - Operation - Crew name - Labor type ID - Number of workers - Hourly rate USD per hour - Per diem USD per day - Notes/References - Hourly rate for all workers - Per diem all workers - per_diem_costs - hourly_costs - crew_level_total_costs,,,"Management - Management - project size - Project manager - 1.0 - 119.0 - 149 - (50% burden) https://www.salary.com/tools/salary-calculator/project-manager-sr-construction-hourly?type=base; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. - 119.0 - 149.0 - 22846.17 - 206750.59999999998 - 229596.76999999996"
foundation_validation_ge15,ErectionCost,management_crews_cost: Crew type ID - Operation - Crew name - Labor type ID - Number of workers - Hourly rate USD per hour - Per diem USD per day - Notes/References - Hourly rate for all workers - Per diem all workers - per_diem_costs - hourly_costs - crew_level_total_costs,,,"Management - Management - project size - Site manager - 1.0 - 112.2 - 149 - (50% burden) https://www.salary.com/tools/salary-calculator/construction-manager-ii-hourly; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. - 112.2 - 149.0 - 22846.17 - 194936.28 - 217782.45"
foundation_validation_ge15,ErectionCost,management_crews_cost: Crew type ID - Operation - Crew name - Labor type ID - Number of workers - Hourly rate USD per hour - Per diem USD per day - Notes/References - Hourly rate for all workers - Per diem all workers - per_diem_costs - hourly_costs - crew_level_total_costs,,,"Management - Management - project size - Construction manager - 1.0 - 112.2 - 149 - (50% burden) https://www.salary.com/tools/salary-calculator/construction-manager-ii-hourly; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. - 112.2 - 149.0 - 22846.17 - 194936.28 - 217782.45"
foundation_validation_ge15,ErectionCost,management_crews_cost: Crew type ID - Operation - Crew name - Labor type ID - Number of workers - Hourly rate USD per hour - Per diem USD per day - Notes/References - Hourly rate for all workers - Per diem all workers - per_diem_costs - hourly_costs - crew_level_total_costs,,,"Management - Management - project size - Project engineer - 1.0 - 93.5 - 149 - (50% burden) https://www.salary.com/tools/salary-calculator/project-engineer-iii-construction-hourly; plus 20% for demanding specs, rigid inspec-tions, unreliable suppliers. - 93.5 - 149.0 - 22846.17 - 162446.9 - 185293.07"
foundation_validation_ge15,ErectionCost,management_crews_cost: Crew type ID - Operation - Crew name - Labor type ID - Number of workers - Hourly rate USD per hour - Per diem USD per day - Notes/References - Hourly rate for all workers - Per diem all workers - per_diem_costs - hourly_costs - crew_level_total_costs,,,"Management - Management - project size - Safety or qc manager - 1.0 - 106.11764705882352 - 149 - (70% burden) https://www.salary.com/tools/salary-calculator/construction-site-safety-manager-hourly; plus 35% for demanding specs, rigid inspec-tions, unreliable suppliers. - 106.11764705882352 - 149.0 - 22846.17 - 184368.79999999996 - 207214.96999999997"
foundation_validation_ge15,ErectionCost,management_crews_cost: Crew type ID - Operation - Crew name - Labor type ID - Number of workers - Hourly rate USD per hour - Per diem USD per day - Notes/References - Hourly rate for all workers - Per diem all workers - per_diem_costs - hourly_costs - crew_level_total_costs,,,"Management - Management - project size - Logistics manager - 1.0 - 99.9 - 149 - (50 % burden) https://www.salary.com/research/salary/benchmark/logistics-manager-hourly-wages; plus 35% for demanding specs, rigid inspec-tions, unreliable suppliers. - 99.9 - 149.0 - 22846.17 - 173566.26 - 196412.43"
